CandidateName,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Gary Taylor,,D,H,21,White,M,https://www.garytaylorforcongress.com/,99,https://www.facebook.com/people/Gary-Taylor-for-Congress/61577345858808/,99,99,https://www.tiktok.com/@garytaylorforcdtx21,https://bsky.app/profile/garytaylorcongress.bsky.social,N/A
Regina Vanburg,,D,H,21,White,F,https://www.reginavanburg.com/,99,https://www.facebook.com/reginavanburg.tx21/,https://www.instagram.com/ReginaVanburg.Tx21,https://www.youtube.com/@ReginaVanburg.TX21,https://www.tiktok.com/@reginavanburg,99,That is her Campaign Facebook account but it's not a page.
Daniel W. Betts,,R,H,21,White,M,https://bettsfortexas.com/,https://x.com/bettsfortexas,https://www.facebook.com/bettsfortexas,https://www.instagram.com/bettsfortexas/,https://www.youtube.com/channel/UCvN5kddPR_w6TfyVFXoR2mw,https://www.tiktok.com/@bettsfortexas,99,N/A
Jason Cahill,,R,H,21,White,M,https://cahillforcongress.org/,99,https://www.facebook.com/CahillforTexas,https://www.instagram.com/cahillfortexas/,99,99,99,N/A
Jacques Dubose,,R,H,21,White,M,https://votedubose.com/,99,99,99,99,99,99,N/A
Zeke Enriquez,,R,H,21,Hispanic,M,https://zeke4texas.com/,https://x.com/zeke4texas,99,https://www.instagram.com/zeke4texas/,https://www.youtube.com/@zeke4texas,99,99,N/A
Weston Martinez,,R,H,21,Hispanic,M,https://westonfortexas.com/,https://x.com/westonmartinez,https://www.facebook.com/WestonMartinez/,https://www.instagram.com/weston.martinez,99,https://www.tiktok.com/@westonmartinez1,99,"""Martinez attended college on a bull riding scholarship."" It's a whole other world out there."
Paul Rojas,,R,H,21,Hispanic,M,https://rojas4texas.com/,https://x.com/rojas4texas,https://www.facebook.com/people/Paul-Rojas-for-US-Congress-District-21/61581784807052/,https://www.instagram.com/rojas4texas/,https://www.youtube.com/@Rojas4Texas,https://www.tiktok.com/@rojas4texas,99,N/A
Kyle Sinclair,,R,H,21,White,M,https://www.kylefortx.com/,https://x.com/kylefor21,https://www.facebook.com/Kylefor21,https://www.instagram.com/kylefor21,https://www.youtube.com/channel/UC8kMwDXwbx4fDZEQdpTJy4Q,https://www.tiktok.com/@kylesinclairfor21,99,N/A
Heather Tessmer,,R,H,21,White,M,https://tessmerforcongress.com/,99,https://www.facebook.com/people/Heather-Tessmer-for-Congress/61581993881972/,https://www.instagram.com/heather.tessmer/,99,99,99,N/A
Mark Teixeira,,R,H,21,Hispanic,M,https://teixeiraforcongress.com/,https://x.com/teixeiramark25,https://www.facebook.com/votetexforcongress,https://www.instagram.com/texforcongress/,https://www.youtube.com/channel/UCeAM1jyk_70mU9MuCp1GlDw,99,99,N/A
"James ""Trey"" Trainor III",,R,H,21,White,M,https://www.trey4tx.com/,99,99,99,99,99,99,N/A
Peggy Mccormick Wardlaw,,R,H,21,White,F,http://votepeggy.com/,https://x.com/peggy_wardlaw,https://www.facebook.com/votepeggyforDistrict21/,https://www.instagram.com/peggywardlaw/,https://www.youtube.com/@peggywardlaw2786/,99,99,N/A
