CandidateName,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Jason Friedman,Democratic,U.S. House,7,,Male,https://www.friedmanforcongress.com/,https://x.com/JasonFriedmanIL,https://www.facebook.com/JasonFriedmanIL,https://www.instagram.com/friedmanforcongress,https://www.youtube.com/@JasonFriedmanForCongress,https://www.tiktok.com/@jasonfriedmanforcongress,https://bsky.app/profile/jasonfriedmanil.bsky.social,
Rory Hoskins,Democratic,U.S. House,7,,Male,https://roryforillinois.com/,99,https://www.facebook.com/RoryforIL7,https://www.instagram.com/RoryforIL7/,https://www.youtube.com/@RoryforIL7,https://www.tiktok.com/@roryforil7,https://bsky.app/profile/roryforil7.bsky.social,
Reed Showalter,Democratic,U.S. House,7,,Male,https://www.reed4congress.com/,https://x.com/reed_showalter,https://www.facebook.com/reed4congress/,https://www.instagram.com/reedforcongress/,https://www.youtube.com/@ReedShowalter,https://www.tiktok.com/@reed4congress,https://bsky.app/profile/reedforcongress.bsky.social,
Anabel Mendoza,Democratic,U.S. House,7,,Female,https://www.anabelforcongress.com/,99,https://www.facebook.com/anabelforcongress/,https://www.instagram.com/anabelforcongress,https://www.youtube.com/channel/UCQkHF3NSRQXWHJmIshfR4Vg,https://www.tiktok.com/@anabelforcongress,https://bsky.app/profile/anabelforcongress.bsky.social,
"Anthony Driver, Jr.",Democratic,U.S. House,7,,Male,https://driverforchange.com/,https://x.com/driver4change,https://www.facebook.com/people/Anthony-Driver-Jr-For-Congress/61578957966628/,https://www.instagram.com/driver4change/,99,https://www.tiktok.com/@ajdriver07,99,
Richard R. Boykin,Democratic,U.S. House,7,,Male,https://www.richardboykinforcongress.com/,99,https://www.facebook.com/RichardBoykinforCongress,https://www.instagram.com/richardboykinforcongress,99,99,99,
Felix Tello,Democratic,U.S. House,7,,Male,https://www.felixforcongress.org/,https://x.com/felix_congress,99,https://www.instagram.com/felixforcongress/,https://www.youtube.com/@FelixTello_YVMOOV,99,99,
Kina Collins,Democratic,U.S. House,7,,Female,https://www.kinacollinsil.com/,https://x.com/KinaCollinsIL,https://www.facebook.com/KinaCollinsForCongress,https://www.instagram.com/Kinacollinsil,https://www.youtube.com/@kinaforcongress1841,https://www.tiktok.com/@kina4congress2026,99,
David Ehrlich,Democratic,U.S. House,7,,Male,https://www.ehrlichforcongress.com/,https://x.com/@EhrlichDav51854,99,https://www.instagram.com/professordave4congress,https://www.youtube.com/@EhrlichforCongress17March,99,https://bsky.app/profile/ehrlich4congress.bsky.social,
Thomas Fisher,Democratic,U.S. House,7,,Male,https://thomasfisherforcongress.com/,https://x.com/drthomasfisher,https://www.facebook.com/p/Dr-Thomas-Fisher-for-Congress-61583976170394/,https://www.instagram.com/dr.thomasfisherforcongress,99,https://www.tiktok.com/@drthomasfisher,99,
Chad Koppie,Republican,U.S. House,7,,Male,https://www.chadkoppie.com/,https://x.com/ChadKoppie,https://www.facebook.com/Chad-Koppie-Campaign-175035105892775,99,99,99,99,
"Patricia ""P Rae"" Easley",Republican,U.S. House,7,,Female,99,https://x.com/ChicagoREDP,https://www.facebook.com/people/P-Rae-for-Congress/61584130666231/,99,99,99,99,
Neil Khot,Democratic,U.S. House,8,,Male,https://neilforcongress.com/,https://x.com/neilforcongress,https://www.facebook.com/people/Neil-for-Congress-IL-08/61582708318132/,https://www.instagram.com/neil4congress/,https://www.youtube.com/@NeilforCongressMedia,https://www.tiktok.com/@neilforcongress,99,
Yasmeen Bankole,Democratic,U.S. House,88,,Female,https://yasmeenbankole.com/,https://x.com/BankoleYasmeen,https://www.facebook.com/Yasmeenbankole1/,https://www.instagram.com/YASMEENBANKOLE,https://www.youtube.com/channel/UCOOLHJbSAS3cXCBys6yX0sQ,https://www.tiktok.com/@yasmeen.bankole,https://bsky.app/profile/yasmeenbankole.bsky.social,
Kevin B. Morrison,Democratic,U.S. House,8,,Male,https://www.kevinmorrisonforcongress.com/,https://x.com/MorrisonForIL,https://www.facebook.com/kevinmorrisonforillinois/,https://www.instagram.com/kevinmorrisonforcongress/,https://www.youtube.com/@kevinmorrisonforcongress,https://www.tiktok.com/@kevinmorrisonforcongress,https://bsky.app/profile/morrisonforil.bsky.social,
Dan Tully,Democratic,U.S. House,8,,Male,https://dantully.com/,https://x.com/dantully,https://www.facebook.com/dantullyIL,https://www.instagram.com/dantully/,https://www.youtube.com/@DanTullyforCongress,https://www.tiktok.com/@dtully,https://bsky.app/profile/dantully.bsky.social,
Ryan Vetticad,Democratic,U.S. House,8,,Male,https://www.ryanforillinois.com/,https://x.com/ryanvetticad,https://www.facebook.com/RyanforIllinois,https://www.instagram.com/ryanvetticadforil,99,99,https://bsky.app/profile/ryanvetticad.bsky.social,
